Character ID,Entity ID,Min Value,Max Value,Other Values
25,176,1,0.5,0.5;1.5;1.5
25,177,1,2,2;8;8
25,178,1,0.5,0.5;3;3
25,179,1,3,3;10;10
25,180,1,0.5,0.5;1.2;1.2
25,181,1,0.2,0.2;1;1
25,182,1,1,1;2;2
25,183,1,0.2,0.2;1;1
25,184,1,0.5,0.5;1;1
25,185,1,0.2,0.2;1;1
25,186,1,0.3,0.3;1;1
25,187,1,0.3,0.3;1;1
25,188,1,0.5,0.5;0.8;0.8
25,189,1,0.5,0.5;1.5;1.5
25,190,1,0.5,0.5;1.5;1.5
25,191,1,0.3,0.3;0.6;0.6
25,192,1,0.5,0.5;1.2;1.2
25,193,1,0.3,0.3;0.6;0.6
25,194,1,1.3,1.3;2.5;2.5
25,195,1,0.2,0.2;0.4;0.4
25,196,1,0.5,0.5;1;1
25,197,1,0.5,0.5;1.5;1.5
25,198,1,0.5,0.5;1;1
25,199,1,0.7,0.7;1;1
25,200,1,0.5,0.5;1.2;1.2
25,201,1,0.6,0.6;1.7;1.7
25,202,1,1.5,1.5;2.5;2.5
25,203,1,2.5,2.5;5;5
25,204,1,0.3,0.3;1;1
25,205,1,0.3,0.3;1;1
25,206,1,0.5,0.5;1.2;1.2
26,1,1,1,1;4;4
26,2,1,2,2;10;10
26,3,1,2,2;10;10
26,4,1,17,17;20;20
26,5,1,4,4;45;45
26,6,1,0.5,0.5;0.7;0.7
26,7,1,0.8,0.8;2.5;2.5
26,8,1,1.5,1.5;3;3
26,9,1,1.5,1.5;3;3
26,10,1,0.7,0.7;1.5;1.5
26,11,1,6,6;30;30
26,12,1,8,8;35;35
26,13,1,3,3;5;5
26,14,1,2,2;20;20
26,15,1,4,4;10;10
26,16,1,1,1;5;5
26,17,1,0.5,0.5;1;1
26,18,1,0.5,0.5;1.5;1.5
26,19,1,1,1;2.5;2.5
26,20,1,3,3;5;5
26,21,1,7,7;20;20
26,22,1,2,2;7;7
26,23,1,1,1;3;3
26,24,1,5,5;10;10
26,25,1,1,1;3;3
26,26,1,6,6;25;25
26,27,1,6,6;10;10
26,28,1,7,7;18;18
26,29,1,10,10;40;40
26,30,1,0.5,0.5;1.2;1.2
26,31,1,2,2;8;8
26,32,1,3,3;12;12
26,33,1,0.7,0.7;3;3
26,34,1,20,20;45;45
26,35,1,1,1;3;3
26,36,1,2,2;4;4
26,37,1,40,40;90;90
26,38,1,4,4;6;6
26,39,1,1.5,1.5;5.5;5.5
26,40,1,0.7,0.7;3;3
26,41,1,20,20;180;180
26,42,1,10,10;55;55
26,43,1,5,5;10;10
26,44,1,7,7;18;18
26,45,1,0.5,0.5;1;1
26,46,1,5,5;25;25
26,47,1,1.5,1.5;10;10
26,48,1,2,2;8;8
26,49,1,2,2;10;10
26,50,1,1,1;10;10
26,51,1,3,3;6;6
26,52,1,20,20;80;80
26,53,1,20,20;120;120
26,54,1,0.6,0.6;1.4;1.4
26,55,1,1,1;2;2
26,56,1,1,1;2;2
26,57,1,0.5,0.5;1.5;1.5
26,58,1,0.5,0.5;1.5;1.5
26,59,1,18,18;35;35
26,60,1,5,5;120;120
26,61,1,4,4;16;16
26,62,1,0.4,0.4;1;1
26,63,1,0.4,0.4;5;5
26,64,1,1,1;13;13
26,65,1,0.25,0.25;5.5;5.5
26,66,1,1,1;17;17
26,67,1,0.5,0.5;13;13
26,68,1,2,2;23;23
26,69,1,0.5,0.5;9;9
26,70,1,1,1;7.5;7.5
26,71,1,0.5,0.5;9;9
26,72,1,0.5,0.5;3;3
26,73,1,0.5,0.5;14;14
26,74,1,0.3,0.3;3;3
26,75,1,0.3,0.3;2;2
26,76,1,0.2,0.2;0.8;0.8
26,77,1,0.5,0.5;13.5;13.5
26,78,1,1,1;23;23
26,79,1,0.5,0.5;10;10
26,80,1,0.5,0.5;10;10
26,81,1,0.5,0.5;2;2
26,82,1,0.5,0.5;5.5;5.5
26,83,1,1,1;10;10
26,84,1,1,1;13;13
26,85,1,0.5,0.5;7.5;7.5
