Character ID,Entity ID,Min Value,Max Value,Other Values
31,2,1,0.8,0.8;1;1
31,3,1,1.2,1.2;2;2
31,4,1,0.4,0.4;1.1;1.1
31,5,1,0.4,0.4;0.7;0.7
31,6,1,0.5,0.5;1;1
31,7,1,0.4,0.4;1;1
31,8,1,0.4,0.4;1;1
31,9,1,0.5,0.5;1;1
31,10,1,0.3,0.3;1;1
31,11,1,0.4,0.4;1;1
31,12,1,0.5,0.5;1;1
31,13,1,0.3,0.3;0.7;0.7
31,14,1,0.4,0.4;0.8;0.8
31,15,1,0.2,0.2;0.6;0.6
31,16,1,0.2,0.2;0.7;0.7
31,17,1,0.4,0.4;1;1
31,18,1,0.3,0.3;0.6;0.6
31,19,1,0.3,0.3;0.8;0.8
31,20,1,0.5,0.5;0.7;0.7
31,21,1,0.8,0.8;1.6;1.6
31,22,1,0.4,0.4;0.8;0.8
31,23,1,0.6,0.6;1.2;1.2
31,24,1,0.4,0.4;0.9;0.9
31,25,1,0.8,0.8;1.5;1.5
31,26,1,1,1;2.2;2.2
31,27,1,0.3,0.3;0.7;0.7
31,28,1,0.4,0.4;1;1
31,29,1,0.7,0.7;1.3;1.3
31,30,1,0.7,0.7;1.4;1.4
31,31,1,0.7,0.7;1;1
31,32,1,0.7,0.7;1.5;1.5
31,33,1,0.5,0.5;1;1
31,34,1,0.3,0.3;0.7;0.7
31,35,1,0.5,0.5;1;1
31,36,1,0.3,0.3;0.7;0.7
31,37,1,0.5,0.5;1;1
31,38,1,0.3,0.3;0.8;0.8
31,39,1,0.3,0.3;0.6;0.6
31,40,1,0.3,0.3;0.6;0.6
31,41,1,0.4,0.4;1;1
31,42,1,0.3,0.3;0.8;0.8
31,43,1,0.7,0.7;1;1
31,44,1,0.6,0.6;1.1;1.1
31,45,1,0.5,0.5;1;1
31,46,1,1,1;2;2
31,47,1,0.4,0.4;0.7;0.7
31,48,1,0.3,0.3;0.9;0.9
31,49,1,0.4,0.4;1;1
31,50,1,0.5,0.5;1;1
31,51,1,0.3,0.3;0.6;0.6
31,52,1,0.5,0.5;0.8;0.8
31,53,1,0.3,0.3;0.7;0.7
31,54,1,0.5,0.5;1;1
31,55,1,0.8,0.8;1.3;1.3
31,56,1,0.4,0.4;0.6;0.6
31,57,1,0.4,0.4;0.8;0.8
31,58,1,0.3,0.3;0.7;0.7
31,59,1,0.3,0.3;1.5;1.5
31,60,1,0.7,0.7;1.6;1.6
31,61,1,0.5,0.5;1;1
31,62,1,0.7,0.7;1.3;1.3
32,1,1,2,2;4;4
32,2,1,2.5,2.5;3.5;3.5
32,3,1,4,4;6;6
32,4,1,1.5,1.5;2.5;2.5
32,5,1,1.8,1.8;2.5;2.5
32,6,1,2,2;3;3
32,7,1,2,2;3;3
32,8,1,2.5,2.5;4;4
32,9,1,2,2;3;3
32,10,1,2,2;2.8;2.8
32,11,1,1.5,1.5;2.5;2.5
32,12,1,2,2;4;4
32,13,1,2.4,2.4;4;4
32,14,1,1.5,1.5;3.5;3.5
32,15,1,1.5,1.5;3.5;3.5
32,16,1,1.5,1.5;2.5;2.5
32,17,1,1.5,1.5;3;3
32,18,1,2.5,2.5;3.5;3.5
32,19,1,1.5,1.5;2.5;2.5
32,20,1,2.5,2.5;3.5;3.5
32,21,1,3.5,3.5;5;5
32,22,1,2,2;2.6;2.6
32,23,1,2,2;3.5;3.5
32,24,1,3,3;7;7
32,25,1,3,3;5.5;5.5
32,26,1,2,2;4;4
32,27,1,1.5,1.5;2.5;2.5
32,28,1,3,3;4.5;4.5
32,29,1,3,3;6.5;6.5
32,30,1,3.5,3.5;7;7
32,31,1,2.5,2.5;3;3
32,32,1,1.5,1.5;2;2
32,33,1,2.5,2.5;3;3
32,34,1,1.5,1.5;4;4
32,35,1,2.5,2.5;5.5;5.5
32,36,1,2,2;3.5;3.5
32,37,1,2.5,2.5;3.5;3.5
32,38,1,2,2;3.5;3.5
32,39,1,2,2;2.6;2.6
32,40,1,1,1;3;3
32,41,1,4,4;5;5
32,42,1,2,2;3;3
32,43,1,1.5,1.5;2;2
32,44,1,2.5,2.5;4;4
32,45,1,2.5,2.5;4.5;4.5
32,46,1,3.5,3.5;5.5;5.5
32,47,1,2.5,2.5;4.6;4.6
32,48,1,1.5,1.5;2.5;2.5
32,49,1,2,2;2.5;2.5
32,50,1,2,2;3.5;3.5
32,51,1,2,2;4;4
32,52,1,2,2;3;3
32,53,1,1.5,1.5;2;2
32,54,1,2,2;3;3
32,55,1,2,2;3.5;3.5
32,56,1,1.5,1.5;3;3
32,57,1,1.5,1.5;3;3
32,58,1,1.5,1.5;3.5;3.5
32,59,1,1.5,1.5;3.5;3.5
32,60,1,1.5,1.5;3.5;3.5
32,61,1,2,2;3.5;3.5
32,62,1,2.5,2.5;4;4
